Strip_#,SW_Paint_#,Color_Name
254,7551,Greek Villa
255,7005,Pure White
257,7006,Extra White
255,7008,Alabaster
255,7566,Westhighland White
254,7009,Pearly White
254,7013,Ivory Lace
254,7042,Shoji White
265,7104,Cotton White
265,7558,Medici Ivory
266,7554,Steamed Milk
266,6147,Panda White
266,6140,Moderate White
266,6105,Divine White
259,6070,Heron Plume
259,7626,Zurich White
259,7636,Origami White
259,7035,Aesthetic White
259,7627,White Heron
